Size (bytes) | SHA-1 | Type | Filename(s)
----------------------------------------------------------
11357 | 261eeb9e9f8b2b4b0d119366dda99c6fd7d35c64 | blob | LICENSE
11324 | aa6cb332f4486f6deb530619f79d3ed9581e35f2 | blob | Justfile
8855 | 7304a11c5e16099149af31210f433fd9989980b1 | blob | .github/workflows/build.yml
4364 | 6b98e7fe67e2b68d2a9c59ce10c61adf09cdb949 | blob | build_files/build.sh
3999 | f4e0432d80f460c44086c30ef97c9be41e161853 | blob | .github/workflows/build-disk.yml
1192 | 26d89ac0d1e9d405fdae8e14c4aa92b9046f6ef9 | blob | Containerfile
558 | 69507a210f7a675561bec8ef1d76967a89f637dd | blob | disk_config/iso.toml
330 | 0b25d4384bd3bd046e70a378954efe1bf02a07dd | commit | N/A (not a blob)
298 | a681d76d6577a114f5d565e41f34313cd556daf8 | tree | N/A (not a blob)
178 | de761298be679084ebb5628bdf9184669992f5b0 | blob | cosign.pub
79 | d74ca97e04eb086489039f6d3eba28b8161aede3 | tree | N/A (not a blob)
36 | 107309679088ba3c1769d22c677f0c0cb1594834 | tree | N/A (not a blob)
36 | 86964694d0dee20787fb9e36c4d99b5b4774597a | tree | N/A (not a blob)
36 | 9a323431b9b17596a4758c559ce791c4d3e55e80 | tree | N/A (not a blob)
33 | ce35e444cf0aa8e255067021b6789b5a8c93432a | blob | .gitignore
